order_id,customer_id,product,category,region,quantity,sales,cost,order_date
50,1747,Monitor,Electronics,North,3,4495,2709.91,2025-09-14
51,1089,Monitor,Electronics,South,2,23365,20452.3,2026-03-19
52,4299,Keyboard,Accessories,South,3,44387,28136.4,2025-07-10
53,1671,Printer,Office,West,5,43732,23096.78,2025-07-16
54,3804,Laptop,Electronics,North,3,16349,11913.38,2025-07-14
55,3298,Laptop,Electronics,West,1,22335,11908.18,2025-07-10
56,4356,Mouse,Accessories,West,5,7835,5401.12,2025-10-24
57,4104,Printer,Office,West,5,24209,13870.65,2025-05-07
58,3040,Keyboard,Accessories,South,4,12102,10223.18,2026-03-20
59,2009,Monitor,Electronics,North,4,20277,10701.32,2025-11-11
60,4271,Laptop,Electronics,West,5,19696,15555.16,2025-06-06
61,1281,Mouse,Accessories,East,2,40659,25555.66,2025-10-17
62,2078,Keyboard,Accessories,East,3,18867,9545.98,2025-07-23
63,4343,Mouse,Accessories,West,4,2511,2142.81,2025-08-07
64,4941,Keyboard,Accessories,East,3,19415,11834.51,2025-07-07
65,2896,Mouse,Accessories,South,2,47592,32262.95,2025-09-09
66,2538,Phone,Electronics,East,4,22638,20278.43,2025-12-21
67,1371,Mouse,Accessories,South,5,35588,31341.34,2025-09-21
68,1080,Monitor,Electronics,North,1,40358,36294.04,2025-11-21
69,4935,Keyboard,Accessories,South,2,20585,11135.3,2025-11-09
70,3307,Phone,Electronics,West,2,7729,5938.97,2025-11-26
71,3379,Printer,Office,West,2,36637,23131.58,2025-09-29
72,2603,Laptop,Electronics,East,4,46491,24896.67,2026-03-24
73,2189,Monitor,Electronics,South,2,18883,13327.5,2026-04-18
74,4924,Printer,Office,East,3,29184,22876.58,2026-03-20
75,3638,Monitor,Electronics,East,3,13163,7888.73,2026-01-30
76,4806,Monitor,Electronics,East,5,39435,33168.74,2025-06-26
77,1051,Monitor,Electronics,West,4,49666,32172.39,2025-08-01
78,2004,Phone,Electronics,West,2,47707,39814.91,2026-03-12
79,3013,Monitor,Electronics,East,4,32203,27765.89,2026-04-07
80,2145,Laptop,Electronics,West,3,5025,2988.96,2026-02-16
81,4118,Monitor,Electronics,North,1,39370,33761.96,2025-08-25
82,4920,Keyboard,Accessories,South,4,42792,23122.74,2025-06-11
83,3119,Phone,Electronics,South,5,34615,22491.75,2026-03-26
84,2483,Mouse,Accessories,North,3,12339,6197.98,2026-02-07
85,3229,Mouse,Accessories,North,3,45250,34312.72,2025-05-06
86,4131,Monitor,Electronics,South,4,20296,15707.94,2025-12-18
87,1614,Monitor,Electronics,South,3,3807,2895.25,2025-11-06
88,3531,Printer,Office,South,3,16936,9957.55,2025-10-11
89,1993,Monitor,Electronics,North,4,39945,29979.88,2025-11-13
90,1566,Phone,Electronics,East,5,20216,10418.35,2025-08-18
91,2398,Printer,Office,East,5,7527,5307.07,2025-09-10
92,1461,Phone,Electronics,East,3,35008,28185.41,2025-09-04
93,2762,Phone,Electronics,North,4,47188,28985.34,2025-12-15
94,3447,Printer,Office,East,2,39927,31533.91,2025-09-12
95,4748,Phone,Electronics,North,3,18237,13582.91,2025-12-06
96,1932,Printer,Office,East,5,28999,24734.62,2025-10-27
97,1907,Monitor,Electronics,South,2,49866,25225.78,2025-08-30
98,1582,Mouse,Accessories,East,4,32334,16639.77,2026-01-10
99,3350,Keyboard,Accessories,East,3,18577,14233.48,2026-04-03
100,2725,Mouse,Accessories,South,1,18298,9701.14,2025-08-13
101,3001,Printer,Office,West,5,9971,8427.15,2025-12-05
102,4659,Mouse,Accessories,South,3,17950,9319.09,2025-12-06
103,2909,Laptop,Electronics,South,4,45556,34759.26,2025-07-08
104,3974,Phone,Electronics,North,1,37426,27910.2,2025-10-01
105,4901,Keyboard,Accessories,South,1,27043,16816.76,2025-09-03
106,3554,Monitor,Electronics,East,4,5017,3743.41,2026-02-03
107,3587,Keyboard,Accessories,North,2,5412,2890.62,2025-06-15
108,4275,Printer,Office,East,4,30260,25929.91,2025-05-16
109,2798,Keyboard,Accessories,East,2,12062,9364.65,2025-12-13
110,4874,Keyboard,Accessories,East,5,21613,16920.76,2026-02-05
111,3028,Printer,Office,West,2,21273,14887.32,2025-05-30
112,1858,Laptop,Electronics,North,3,46489,39588.47,2025-05-31
113,3618,Printer,Office,East,1,44320,32872.76,2025-10-19
114,2722,Mouse,Accessories,East,5,15975,11580.99,2025-08-17
115,4720,Mouse,Accessories,South,4,38851,29003.78,2025-10-24
116,1395,Monitor,Electronics,South,3,32069,17876.07,2025-09-28
117,4152,Mouse,Accessories,South,1,14760,9990.68,2026-02-16
118,3220,Phone,Electronics,West,1,4308,3501.38,2026-04-27
119,1911,Keyboard,Accessories,East,3,25338,14363.8,2025-08-20
120,1635,Mouse,Accessories,South,2,38153,20062.17,2026-01-16
121,2196,Printer,Office,West,4,13588,9199.26,2026-03-02
122,4446,Monitor,Electronics,South,4,9655,6375.81,2025-08-12
123,3855,Keyboard,Accessories,North,1,39285,23630.79,2026-03-13
124,2025,Phone,Electronics,South,3,36485,25201.41,2025-11-04
125,3611,Keyboard,Accessories,East,2,32388,25590.64,2026-02-25
126,4555,Keyboard,Accessories,West,2,20942,17994.13,2026-01-17
127,1956,Keyboard,Accessories,West,3,13535,9223.39,2026-01-23
128,3302,Printer,Office,South,3,42925,24819.99,2025-12-15
129,3128,Keyboard,Accessories,West,4,12745,8171.59,2025-05-16
130,4395,Mouse,Accessories,West,4,27939,16106.79,2025-07-01
131,4242,Laptop,Electronics,North,2,9932,8718.22,2025-06-10
132,3698,Monitor,Electronics,South,2,2887,1788.99,2025-08-14
133,3079,Laptop,Electronics,East,3,3988,2127.66,2025-10-23
134,2095,Printer,Office,South,5,28032,14961.59,2025-05-14
135,2728,Mouse,Accessories,West,4,28247,15898.31,2025-10-12
136,2495,Laptop,Electronics,South,1,5416,3192.01,2025-11-11
137,1796,Printer,Office,East,3,11650,10164.06,2026-03-02
138,1781,Monitor,Electronics,East,4,21390,17109.4,2026-04-14
139,1182,Laptop,Electronics,East,1,40403,21161.04,2026-03-21
140,2993,Laptop,Electronics,West,1,23437,20131.24,2026-03-15
141,2653,Keyboard,Accessories,North,4,21307,15528.82,2025-12-09
142,2623,Phone,Electronics,East,3,7652,6011.22,2025-12-15
143,4217,Laptop,Electronics,West,5,16572,9225.38,2026-03-27
144,3069,Keyboard,Accessories,South,5,24882,21389.09,2025-10-08
145,3476,Keyboard,Accessories,West,1,31193,22343.42,2025-12-15
146,3014,Phone,Electronics,South,2,30208,25885.39,2025-05-24
147,2459,Printer,Office,East,1,38785,19532.13,2025-12-04
148,1911,Monitor,Electronics,South,3,18028,11151.97,2026-03-03
149,2667,Laptop,Electronics,West,1,38651,34258.9,2025-08-29
150,3690,Laptop,Electronics,South,3,45939,35105.99,2025-11-05
151,4603,Printer,Office,South,4,45068,39348.62,2025-07-08
152,4622,Keyboard,Accessories,North,5,4572,3246.32,2026-05-05
153,4116,Printer,Office,West,4,38733,22029.99,2026-03-28
154,1540,Phone,Electronics,West,1,18160,15777.19,2026-04-02
155,4607,Keyboard,Accessories,West,2,7268,4527.96,2026-03-18
156,2530,Monitor,Electronics,South,5,11679,7483.92,2025-08-28
157,1641,Phone,Electronics,East,5,3748,3162.41,2026-04-13
158,4883,Phone,Electronics,South,2,21406,14729.92,2026-02-27
159,4492,Phone,Electronics,West,4,40842,26607.68,2025-08-01
160,1157,Keyboard,Accessories,South,1,9922,8593.68,2025-09-12
161,2525,Laptop,Electronics,West,5,46531,30738.77,2025-08-31
162,3302,Monitor,Electronics,South,3,36874,32459.91,2025-10-09
163,4800,Keyboard,Accessories,East,2,24194,20349.17,2025-08-11
164,2269,Monitor,Electronics,South,2,5949,3557.95,2025-07-23
165,1824,Mouse,Accessories,South,1,8816,6108.3,2025-10-24
166,1083,Keyboard,Accessories,East,1,29884,24449.16,2025-10-19
167,1918,Printer,Office,South,1,45492,24300.33,2026-02-26
168,4849,Phone,Electronics,West,2,25242,20503.18,2025-10-05
169,4787,Monitor,Electronics,East,4,43005,32427.03,2026-02-28
170,2335,Mouse,Accessories,South,4,28275,23956.27,2025-11-30
171,1746,Monitor,Electronics,North,5,37563,29233.35,2025-08-21
172,1282,Mouse,Accessories,South,2,19721,14016.43,2026-05-05
173,4434,Monitor,Electronics,North,3,39393,32812.27,2025-12-25
174,4908,Phone,Electronics,West,3,20232,17652.4,2025-05-16
175,1892,Monitor,Electronics,East,2,38269,19233.48,2025-09-05
176,2941,Printer,Office,West,3,39902,31647.07,2026-01-06
177,3080,Printer,Office,South,1,18899,12501.16,2025-09-15
178,4066,Monitor,Electronics,East,5,21242,18649.83,2025-06-22
179,4030,Monitor,Electronics,North,3,19837,11996.03,2025-08-25
180,3820,Mouse,Accessories,West,3,21705,17536.11,2025-12-30
181,1557,Mouse,Accessories,North,3,14394,9504.85,2025-12-01
182,1609,Monitor,Electronics,West,4,43903,29548.78,2025-10-23
183,2069,Mouse,Accessories,West,2,47724,35597.53,2025-07-23
184,1154,Mouse,Accessories,North,2,24424,16146.98,2026-02-15
185,2904,Mouse,Accessories,North,4,46033,32222.17,2025-05-11
186,1487,Laptop,Electronics,South,1,1889,1478.42,2025-11-09
187,2412,Phone,Electronics,East,1,32808,18501.26,2025-07-26
188,2777,Monitor,Electronics,West,2,4030,2989.83,2026-01-15
189,1866,Keyboard,Accessories,South,2,8379,4459.27,2026-01-17
190,2935,Phone,Electronics,East,2,49977,26117.17,2026-02-24
191,1689,Laptop,Electronics,South,3,34438,26363.73,2025-05-17
192,2150,Keyboard,Accessories,North,5,33789,19719.33,2025-12-08
193,2835,Phone,Electronics,West,2,24833,13609.58,2025-11-03
194,4903,Phone,Electronics,West,5,48781,40357.84,2025-08-29
195,4252,Laptop,Electronics,East,4,17996,14148.42,2026-03-03
196,4099,Mouse,Accessories,West,1,32738,27536.62,2025-07-20
197,2021,Mouse,Accessories,East,2,38778,24691.25,2025-09-17
198,1947,Laptop,Electronics,South,1,18937,14360.05,2025-06-21
199,2066,Phone,Electronics,West,5,23079,14451.99,2025-05-29
200,1103,Monitor,Electronics,East,5,48947,33674.86,2026-03-29
201,1794,Mouse,Accessories,North,5,30064,21605.15,2026-02-10
202,3022,Monitor,Electronics,North,5,2090,1364.58,2025-06-14
203,2879,Mouse,Accessories,West,3,48612,35144.58,2026-03-06
204,1382,Keyboard,Accessories,North,2,31038,20159.44,2025-09-21
205,1222,Mouse,Accessories,North,4,18580,16607.99,2025-09-30
206,1741,Mouse,Accessories,South,4,46983,36467.23,2025-12-31
207,2594,Monitor,Electronics,South,5,23801,15574.85,2026-02-20
208,3329,Printer,Office,East,2,37370,19824.64,2026-02-27
209,4114,Printer,Office,West,4,18852,12622.04,2025-09-08
210,3079,Keyboard,Accessories,North,5,42757,24160.01,2025-11-25
211,1136,Printer,Office,West,4,20067,12396.48,2025-06-02
212,1570,Mouse,Accessories,West,4,47783,32641.23,2025-06-28
213,4355,Printer,Office,West,4,47628,27108.72,2026-04-06
214,3211,Keyboard,Accessories,North,1,44082,32129.99,2026-03-30
215,4767,Printer,Office,East,4,26381,15344.75,2026-04-18
216,1803,Printer,Office,South,3,34454,29318.23,2026-05-01
217,3151,Printer,Office,North,5,49395,39532.39,2025-10-27
218,4481,Laptop,Electronics,East,1,34960,25592.14,2025-09-03
219,3864,Monitor,Electronics,North,1,49744,38323.89,2025-05-13
220,4268,Printer,Office,West,4,22541,12260.58,2026-02-20
221,3261,Laptop,Electronics,West,4,15827,10190.28,2025-08-02
222,3725,Mouse,Accessories,South,2,10529,5998.0,2025-11-03
223,4130,Monitor,Electronics,West,5,46565,39105.01,2025-09-02
224,4125,Printer,Office,East,3,5995,4007.88,2025-09-09
225,2056,Printer,Office,South,1,22408,17874.11,2025-12-17
226,4379,Printer,Office,North,2,48251,35810.94,2025-09-04
227,1092,Laptop,Electronics,East,3,23489,15163.21,2026-04-05
228,2527,Mouse,Accessories,North,2,46190,25667.15,2025-08-10
229,4297,Printer,Office,North,2,20035,13432.29,2026-01-31
230,4104,Printer,Office,West,2,40691,23020.58,2025-12-12
231,1332,Keyboard,Accessories,South,1,11402,7774.26,2025-12-21
232,4409,Printer,Office,North,5,8333,4324.4,2025-08-29
233,1914,Keyboard,Accessories,North,4,35225,24847.27,2025-12-20
234,3777,Phone,Electronics,West,2,6601,4032.57,2025-08-04
235,1639,Mouse,Accessories,South,5,1723,1039.86,2025-12-04
236,1858,Keyboard,Accessories,West,2,35066,28241.28,2026-01-16
237,4325,Monitor,Electronics,West,2,15636,13176.48,2026-03-14
238,3734,Phone,Electronics,East,3,35281,26721.86,2025-08-24
239,2324,Monitor,Electronics,North,1,9145,7979.84,2026-03-25
240,4886,Monitor,Electronics,West,4,45825,24803.83,2026-02-21
241,4223,Printer,Office,South,2,16372,14693.55,2025-10-04
242,2385,Phone,Electronics,South,1,48590,28816.25,2025-08-16
243,2501,Mouse,Accessories,East,3,48608,42130.03,2026-01-28
244,2528,Laptop,Electronics,South,1,45124,30689.66,2025-12-31
245,3691,Keyboard,Accessories,North,2,28174,18275.91,2026-03-06
246,1064,Monitor,Electronics,South,5,19784,16728.69,2026-02-22
247,3254,Monitor,Electronics,South,3,45481,23372.74,2025-05-19
248,1375,Mouse,Accessories,East,3,4608,3729.77,2025-09-09
249,4872,Phone,Electronics,West,5,37070,31609.03,2025-11-14
250,4167,Monitor,Electronics,South,1,49096,29463.27,2026-01-13
251,1776,Mouse,Accessories,West,4,15979,11147.3,2025-08-02
252,1951,Laptop,Electronics,East,4,21091,14785.58,2025-09-23
253,2945,Phone,Electronics,North,3,19968,10409.6,2025-11-13
254,1865,Keyboard,Accessories,East,3,20678,13909.69,2025-05-18
255,2487,Printer,Office,East,3,17869,14323.04,2025-12-22
256,3217,Printer,Office,South,3,38237,28874.19,2026-04-12
257,1969,Phone,Electronics,North,2,45843,34283.54,2026-03-27
258,3353,Monitor,Electronics,West,3,33105,23600.01,2026-03-24
259,2435,Laptop,Electronics,North,3,15849,9803.6,2025-07-25
260,3533,Keyboard,Accessories,West,4,46027,35852.58,2025-10-12
261,2149,Phone,Electronics,West,1,38004,32634.5,2026-04-24
262,4720,Mouse,Accessories,West,5,35632,26911.36,2026-04-06
263,1537,Keyboard,Accessories,South,3,11159,7658.51,2025-10-14
264,2083,Keyboard,Accessories,North,4,8967,6144.8,2026-04-30
265,1887,Monitor,Electronics,East,5,12945,11316.06,2026-04-11
266,1640,Mouse,Accessories,North,1,19153,9895.84,2025-05-12
267,2907,Printer,Office,West,1,35938,30708.48,2025-12-28
268,2895,Printer,Office,North,5,44012,37053.61,2025-09-18
269,2796,Laptop,Electronics,South,4,49434,27072.96,2026-04-17
270,4164,Phone,Electronics,East,2,47577,38062.19,2025-12-17
271,1067,Printer,Office,West,3,41277,20810.11,2026-03-05
272,3776,Mouse,Accessories,South,4,21279,13995.89,2025-09-20
273,1802,Printer,Office,South,5,43825,22787.14,2025-10-12
274,4930,Laptop,Electronics,North,2,16138,8774.97,2025-06-15
275,3643,Printer,Office,South,3,38098,28957.12,2025-08-26
276,3951,Laptop,Electronics,West,4,28514,14584.14,2025-06-29
277,3296,Laptop,Electronics,North,4,32081,16604.68,2026-04-09
278,4538,Keyboard,Accessories,South,3,21933,19170.85,2026-02-20
279,2409,Monitor,Electronics,North,4,24522,14187.3,2026-02-17
280,3675,Mouse,Accessories,South,1,18900,15044.07,2026-01-07
281,1410,Laptop,Electronics,East,2,3031,2677.18,2026-05-03
282,4896,Mouse,Accessories,North,4,28275,14962.95,2025-10-11
283,2091,Monitor,Electronics,South,1,39051,27853.53,2026-03-01
284,1482,Phone,Electronics,South,3,30714,23772.09,2025-07-31
285,4709,Mouse,Accessories,North,5,27329,21690.49,2026-04-01
286,4859,Phone,Electronics,East,1,48174,29312.91,2025-08-20
287,1497,Monitor,Electronics,West,5,42961,24930.37,2026-03-09
288,2723,Phone,Electronics,West,4,25651,22645.72,2026-03-30
289,4897,Monitor,Electronics,South,4,15531,11376.0,2025-06-13
290,3489,Phone,Electronics,North,4,22429,16291.02,2026-03-15
291,1420,Keyboard,Accessories,North,5,22978,17801.63,2026-02-24
292,3468,Printer,Office,South,1,47020,24369.91,2026-04-04
293,2410,Mouse,Accessories,West,5,22139,15624.49,2026-03-06
294,1458,Phone,Electronics,East,2,38514,32172.7,2025-05-16
295,4060,Laptop,Electronics,South,3,22971,20224.94,2026-03-30
296,3318,Laptop,Electronics,East,5,13344,9218.02,2026-04-19
297,3205,Printer,Office,North,1,35307,28635.88,2026-02-20
298,2770,Keyboard,Accessories,North,4,4336,3430.91,2026-04-10
299,3100,Laptop,Electronics,East,2,47738,39423.03,2025-05-15
300,3863,Phone,Electronics,East,5,25001,19938.93,2025-05-27
301,1986,Monitor,Electronics,West,5,2928,2481.21,2025-05-17
302,4098,Laptop,Electronics,South,4,10648,5871.97,2026-03-17
303,2268,Phone,Electronics,South,5,7085,4348.46,2025-06-05
304,2823,Laptop,Electronics,East,2,9240,6460.33,2025-08-25
305,3643,Mouse,Accessories,West,1,38810,19407.64,2026-03-11
306,2684,Mouse,Accessories,South,2,46672,26815.48,2026-02-22
307,2312,Monitor,Electronics,East,3,14807,10223.84,2026-03-04
308,3302,Monitor,Electronics,South,3,25481,19525.78,2025-08-03
309,3888,Printer,Office,North,1,23030,16511.61,2025-10-27
310,3851,Keyboard,Accessories,East,1,5488,4049.47,2025-10-26
311,2820,Monitor,Electronics,East,2,24250,19550.65,2026-04-02
312,4472,Mouse,Accessories,North,4,46786,30244.58,2025-06-11
313,4909,Mouse,Accessories,North,5,25806,19254.43,2025-05-17
314,4294,Mouse,Accessories,North,4,36803,29670.79,2025-08-12
315,2565,Monitor,Electronics,East,1,3205,2488.46,2025-10-23
316,3914,Phone,Electronics,East,3,41472,25919.17,2026-01-05
317,4807,Mouse,Accessories,West,3,16998,9604.64,2025-08-20
318,3222,Monitor,Electronics,North,4,47850,33219.25,2026-02-13
319,3552,Phone,Electronics,West,1,30920,19618.25,2025-12-13
320,1624,Laptop,Electronics,West,1,48820,35711.06,2025-07-19
321,2317,Printer,Office,North,5,38533,23683.49,2025-06-14
322,3176,Phone,Electronics,East,1,36889,24717.7,2025-06-04
323,1649,Keyboard,Accessories,North,2,38249,26524.18,2026-03-16
324,4915,Monitor,Electronics,South,4,29404,18407.36,2026-04-20
325,3172,Monitor,Electronics,North,4,38741,31118.65,2026-02-17
326,3869,Phone,Electronics,East,1,34694,25396.44,2025-09-21
327,1180,Monitor,Electronics,South,5,34389,22110.93,2025-05-28
328,1200,Printer,Office,South,1,11085,7986.17,2026-02-16
329,1761,Mouse,Accessories,West,3,29614,18678.1,2025-11-23
330,4514,Mouse,Accessories,East,2,6932,5266.6,2025-08-22
331,4694,Monitor,Electronics,East,3,29628,16708.1,2025-09-17
332,2719,Keyboard,Accessories,South,5,4822,2457.5,2025-06-04
333,1361,Phone,Electronics,West,5,17033,8987.9,2025-09-12
334,3995,Phone,Electronics,West,5,36092,26410.01,2025-06-04
335,2714,Phone,Electronics,North,1,2432,1414.83,2025-11-30
336,1755,Keyboard,Accessories,South,5,30482,20664.94,2025-06-14
337,3038,Printer,Office,East,4,26472,23259.47,2025-11-19
338,4647,Mouse,Accessories,South,2,16492,13961.99,2026-01-10
339,2706,Monitor,Electronics,South,2,768,669.32,2025-05-08
340,2990,Mouse,Accessories,West,1,27962,22497.38,2025-11-26
341,1276,Mouse,Accessories,South,1,33583,25402.92,2025-12-07
342,4910,Keyboard,Accessories,North,1,10451,6942.92,2026-03-05
343,1312,Phone,Electronics,West,2,46575,33239.84,2025-06-03
344,3824,Printer,Office,North,2,43512,29775.36,2026-02-01
345,2584,Printer,Office,North,4,1170,842.4,2025-12-01
346,4768,Monitor,Electronics,North,1,40919,24175.08,2026-03-24
347,1035,Laptop,Electronics,North,2,13546,10084.55,2025-11-15
348,2326,Keyboard,Accessories,East,2,1696,908.69,2025-12-06
349,2298,Laptop,Electronics,South,5,9575,6124.48,2026-04-22
350,3064,Mouse,Accessories,West,4,5056,3360.1,2026-01-02
351,4401,Phone,Electronics,West,4,49036,43046.5,2026-02-23
352,3158,Phone,Electronics,North,2,18882,12641.26,2025-12-25
353,3455,Monitor,Electronics,South,2,15670,11775.19,2026-02-05
354,2833,Laptop,Electronics,West,2,12033,6444.66,2025-10-06
355,3260,Monitor,Electronics,South,5,25028,14883.68,2025-06-08
356,4523,Printer,Office,South,3,43482,33489.81,2026-04-05
357,1573,Laptop,Electronics,South,4,42414,32766.26,2025-09-18
358,4058,Laptop,Electronics,North,1,16728,9363.27,2025-06-12
359,1517,Monitor,Electronics,South,5,8222,7310.64,2025-06-16
360,1293,Monitor,Electronics,East,4,18651,11330.4,2025-12-11
361,1427,Laptop,Electronics,East,3,6306,5090.16,2025-11-19
362,1184,Mouse,Accessories,West,1,12400,7721.98,2025-11-10
363,1239,Laptop,Electronics,North,1,28709,17400.06,2025-06-19
364,4122,Printer,Office,West,2,20569,15988.59,2025-05-23
365,1056,Laptop,Electronics,South,3,31658,21684.25,2025-12-23
366,3227,Laptop,Electronics,East,5,13377,9152.63,2025-08-06
367,1822,Printer,Office,South,4,11382,5742.94,2025-06-01
368,1386,Phone,Electronics,South,5,21550,11346.82,2026-02-21
369,3016,Monitor,Electronics,West,2,17547,13777.98,2025-07-21
370,2873,Phone,Electronics,West,4,36624,32608.76,2025-09-24
371,3754,Keyboard,Accessories,East,5,19175,13442.81,2026-04-17
372,3974,Phone,Electronics,East,5,32392,17893.65,2025-11-13
373,2125,Keyboard,Accessories,East,4,5874,4375.9,2026-04-27
374,1861,Printer,Office,South,1,22114,18674.96,2026-02-14
375,3970,Keyboard,Accessories,South,4,39168,21510.61,2026-03-30
376,3220,Printer,Office,South,5,28488,20148.04,2025-05-29
377,2342,Mouse,Accessories,South,5,14144,12465.52,2026-04-17
378,1459,Monitor,Electronics,North,5,21352,13218.73,2025-05-21
379,2594,Keyboard,Accessories,North,3,8679,5359.63,2026-02-23
380,3378,Phone,Electronics,East,4,14007,11270.9,2025-09-07
381,4258,Keyboard,Accessories,West,2,3292,1910.18,2026-01-14
382,4913,Laptop,Electronics,South,1,2606,2200.25,2025-09-14
383,2143,Printer,Office,North,1,46691,27761.57,2025-10-31
384,2745,Monitor,Electronics,South,2,27097,18203.32,2025-11-26
385,2962,Mouse,Accessories,West,1,3665,3178.43,2025-06-29
386,3144,Keyboard,Accessories,West,5,48011,25632.39,2026-03-27
387,3206,Keyboard,Accessories,West,4,37874,31773.5,2026-04-08
388,1687,Laptop,Electronics,West,3,1159,1033.9,2025-11-02
389,4265,Keyboard,Accessories,West,3,34314,29507.76,2026-02-10
390,2906,Keyboard,Accessories,East,1,2400,1727.05,2025-08-10
391,1689,Keyboard,Accessories,East,2,30228,27080.46,2025-12-29
392,2607,Keyboard,Accessories,West,1,8834,6586.02,2025-05-07
393,1717,Mouse,Accessories,West,5,20561,11079.82,2026-04-05
394,2098,Keyboard,Accessories,West,2,34391,20671.6,2025-06-26
395,3518,Keyboard,Accessories,West,5,31549,27547.98,2025-08-01
396,2531,Phone,Electronics,North,4,11219,7388.02,2026-03-24
397,3949,Monitor,Electronics,North,4,29735,21387.41,2025-12-01
398,3933,Monitor,Electronics,East,3,41713,26486.16,2025-05-27
399,2287,Phone,Electronics,East,1,25597,17724.54,2025-12-26
400,2586,Printer,Office,East,3,4422,2298.76,2025-08-11
401,1016,Mouse,Accessories,East,3,5913,3064.61,2025-10-25
402,2421,Monitor,Electronics,South,1,2866,2106.99,2025-06-01
403,4560,Phone,Electronics,South,3,30987,24574.97,2025-05-10
404,2740,Monitor,Electronics,West,3,32743,21183.34,2026-01-10
405,1478,Laptop,Electronics,South,3,4682,4046.23,2025-08-02
406,3615,Phone,Electronics,South,2,17625,10294.61,2026-04-19
407,2776,Printer,Office,North,4,44570,38415.15,2026-04-17
408,3002,Laptop,Electronics,North,4,5425,4828.98,2025-11-24
409,3414,Keyboard,Accessories,North,2,1162,818.64,2025-11-04
410,3596,Monitor,Electronics,West,1,39064,26541.73,2025-12-31
411,4565,Phone,Electronics,East,4,8024,6273.49,2025-12-26
412,4339,Printer,Office,West,2,16575,14899.61,2026-03-12
413,2097,Printer,Office,West,4,48934,29949.9,2025-07-16
414,2205,Printer,Office,East,1,6909,5483.78,2026-03-26
415,1794,Monitor,Electronics,East,3,29459,22842.48,2025-08-15
416,1505,Mouse,Accessories,East,1,27751,20654.5,2025-12-15
